rank,company_name,website
383,Diamondback Energy,https://www.diamondbackenergy.com/
384,American Tower,https://www.americantower.com/
385,Vertex Pharmaceuticals,https://www.vrtx.com/
386,ServiceNow,https://www.servicenow.com/
387,Owens Corning,https://www.owenscorning.com/
388,Thrivent Financial for Lutherans,https://www.thrivent.com/
389,Advance Auto Parts,https://www.advanceautoparts.com/
390,Toll Brothers,https://www.tollbrothers.com/
391,Mohawk Industries,https://www.mohawkind.com/
392,Motorola Solutions,https://www.motorolasolutions.com/
393,Oshkosh,https://www.oshkoshcorp.com/
394,DoorDash,https://quartr.com/products/quartr-api
395,Owens & Minor,https://www.owens-minor.com/
396,NVR,https://www.nvrinc.com/
397,Interpublic Group,https://www.interpublic.com/
398,Booz Allen Hamilton Holding,https://www.boozallen.com/
399,Burlington Stores,https://www.burlingtoninvestors.com/
400,Expeditors Intl. of Washington,https://www.expeditors.com/
401,Lululemon athletica,https://corporate.lululemon.com/
402,Fidelity National Information Services,https://www.fisglobal.com/
403,Jefferies Financial Group,https://www.jefferies.com/
404,Williams,https://www.williams.com/
405,VF,https://www.vfc.com/
406,FM,
407,Autoliv,https://www.autoliv.com/
408,Westinghouse Air Brake Technologies,https://www.wabteccorp.com/
409,Public Service Enterprise Group,https://www.pseg.com/
410,Dana,https://www.dana.com/
411,Ebay,https://www.ebay.com/
412,Celanese,https://www.celanese.com/
413,Global Payments,https://www.globalpaymentsinc.com/
414,News Corp.,https://www.newscorp.com/
415,Thor Industries,https://www.thorindustries.com/
416,QVC Group,https://investors.qvcgrp.com/
417,Icahn Enterprises,https://www.ielp.com/
418,Constellation Brands,https://www.cbrands.com/
419,Quest Diagnostics,https://www.questdiagnostics.com/
420,KLA,https://www.kla.com/
421,QXO Building Products,https://www.qxo.com/
422,APA,https://www.apacorp.com/
423,A-Mark Precious Metals,https://www.amark.com/
424,Biogen,https://www.biogen.com/
425,Campbell's,https://www.thecampbellscompany.com/
426,Concentrix,https://www.concentrix.com/
427,Cintas,https://www.cintas.com/
428,SpartanNash,https://www.spartannash.com/
429,Ace Hardware,https://www.acehardware.com/
430,Analog Devices,https://www.analog.com/
